delta_phi_rad,chi_phi_emp_norm
1.0995574287564276,0.4539904997395468
1.1100294042683934,0.44463517918492773
1.1205013797803591,0.4352310993723279
1.1309733552923253,0.4257792915650728
1.1414453308042911,0.41628079226040154
1.1519173063162573,0.4067366430758004
1.162389281828223,0.397147890634781
1.1728612573401893,0.3875155864521031
1.183333232852155,0.37784078681846744
1.1938052083641213,0.3681245526846781
1.204277183876087,0.3583679495453006
1.2147491593880533,0.3485720473218153
1.225221134900019,0.3387379202452917
1.2356931104119853,0.3288666467385833
1.246165085923951,0.3189593092980702
1.2566370614359172,0.30901699437494745
1.267109036947883,0.29904079225608693
1.2775810124598488,0.28903179694447206
1.288052987971815,0.2789911060392295
1.2985249634837808,0.26891982061526615
1.308996938995747,0.25881904510252096
1.3194689145077128,0.24868988716485518
1.329940890019679,0.23853345757858105
1.3404128655316447,0.2283508701106561
1.350884841043611,0.2181432413965427
1.3613568165555767,0.20791169081775968
1.371828792067543,0.19765734037912627
1.3823007675795087,0.18738131458572493
1.392772743091475,0.17708474031958338
1.4032447186034407,0.16676874671610256
1.4137166941154065,0.15643446504023137
1.4241886696273727,0.14608302856241187
1.4346606451393384,0.13571557243430485
1.4451326206513047,0.12533323356430448
1.4556045961632704,0.11493715049286705
1.4660765716752366,0.10452846326765368
1.4765485471872024,0.09410831331851473
1.4870205226991686,0.08367784333231566
1.4974924982111344,0.07323819712763208
1.5079644737231006,0.06279051952931353
1.5184364492350664,0.05233595624294419
1.5289084247470326,0.04187565372919975
1.5393804002589984,0.03141075907812862
1.5498523757709646,0.02094241988335705
1.5603243512829303,0.01047178411624609
1.5707963267948966,6.123233995736766e-17
