time,cargo x,cargo y,cargo z,cargo alpha,cargo beta,cargo gamma,phi1,phi2,phi3,phi4,current1,current2,current3,current4,r1 x,r1 y,r1 z,r2 x,r2 y,r2 z,r3 x,r3 y,r3 z,r4 x,r4 y,r4 z
1207,-0.147046566,-0.399680346,0.073316492,-7.80E-05,0.000134699,0.476444185,5.223711578,2.139684962,3.545717295,5.026835271,0.559552975,0.534997351,0.637013074,0.473779655,0.512797356,0.566484928,1.007736802,-0.517485261,-1.395383239,-0.383852482,-0.836367548,-1.164371252,0.957067072,0.872438669,-2.402320147,-2.287183285
1208,-0.146776408,-0.399600714,0.073323019,-8.71E-05,0.000234125,0.477675706,5.277417248,2.179684962,3.585717295,5.074619032,0.559287353,0.538932386,0.636031387,0.474522652,0.512604654,0.566243112,1.011952281,-0.507222414,-1.39439714,-0.383646727,-0.83630091,-1.164323688,0.957075655,0.874474049,-2.398515463,-2.287195921
1209,-0.146232679,-0.399526507,0.073340863,-9.50E-05,0.000393639,0.479059309,5.331500544,2.219684962,3.625717295,5.122596888,0.558851522,0.538909491,0.634858216,0.475580185,0.512402296,0.565993786,1.012581944,-0.504346192,-1.39302969,-0.383046359,-0.836224794,-1.164276242,0.957098424,0.87545687,-2.394788742,-2.287204742
1210,-0.145786285,-0.399454832,0.073326945,-3.52E-05,0.000398711,0.480196029,5.385845898,2.259684962,3.665717295,5.170770765,0.558450342,0.537036286,0.633024964,0.476406305,0.512202263,0.565738499,1.011215091,-0.501261771,-1.391149521,-0.381936461,-0.836152196,-1.164221168,0.957125485,0.873731554,-2.39131999,-2.287220478
1211,-0.145404056,-0.399354458,0.073325351,1.49E-05,0.000384048,0.481143087,5.440322633,2.299684962,3.705717295,5.219137762,0.558050393,0.537545974,0.630691799,0.477098565,0.512011409,0.565500438,1.011955142,-0.493893415,-1.388843894,-0.380395204,-0.836072803,-1.16416502,0.957168639,0.875258923,-2.387948751,-2.287235022
1212,-0.144751087,-0.399206817,0.073350951,2.04E-05,0.000516557,0.482110202,5.494787805,2.339684962,3.745717295,5.267689619,0.557441253,0.540826039,0.628300588,0.478092234,0.511840582,0.565285206,1.015428662,-0.483772427,-1.38623035,-0.378497869,-0.835989892,-1.164106011,0.957192898,0.878186405,-2.384711266,-2.287250042
1213,-0.143619031,-0.399065644,0.073444404,1.63E-05,0.00081695,0.483284384,5.549095373,2.379684962,3.785717295,5.316415485,0.556589317,0.541745149,0.626030653,0.479636714,0.511700153,0.565115154,1.017303467,-0.477249891,-1.383306623,-0.37627998,-0.835895061,-1.164046168,0.957216561,0.883442283,-2.381624222,-2.287262201
1214,-0.142611459,-0.398920149,0.073425673,0.000122354,0.000851624,0.484141976,5.60310901,2.419684962,3.825717295,5.365307513,0.555854089,0.539630759,0.623312489,0.480850687,0.5116117,0.565003097,1.016238213,-0.476113111,-1.380080938,-0.373752177,-0.835796475,-1.163976192,0.957209945,0.882202685,-2.378739357,-2.287273407
1215,-0.14178206,-0.3987602,0.073405236,0.00023118,0.000801624,0.48465541,5.656705269,2.459684962,3.865717295,5.41435668,0.555194024,0.537411153,0.620334115,0.481731361,0.511542499,0.564920306,1.014388323,-0.469038129,-1.376727343,-0.371065706,-0.835684776,-1.163899183,0.957203031,0.886139631,-2.375960588,-2.287265539
1216,-0.140874967,-0.398552865,0.073435359,0.000296873,0.00085237,0.485012352,5.709779791,2.499684962,3.905717295,5.463552466,0.554401874,0.538787031,0.617233528,0.482642123,0.511474788,0.564843357,1.015880823,-0.460478097,-1.373118162,-0.368131757,-0.835555196,-1.163813114,0.957198858,0.89045912,-2.373102427,-2.287237883
