q_left,q_right,sym_mean,sym_sem,n
0.35,0.6,-0.44447223275660763,0.2198758698639969,10
0.43333333333333335,0.6,-0.33624991105287283,0.23772492877408932,10
0.5166666666666666,0.6,-0.30716574949935616,0.2202781772249336,10
0.6,0.6,0.0,0.0,10
0.6833333333333332,0.6,0.09010121993075096,0.21499735534919606,10
0.7666666666666666,0.6,0.2247589403783508,0.16865937980148,10
0.85,0.6,-0.0042325908081696,0.19333075107036765,10
0.9333333333333332,0.6,0.12459892507556751,0.18223916845662563,10
1.0166666666666666,0.6,-0.0002538041822590986,0.16162472484324938,10
1.1,0.6,-0.3503859913962081,0.20007049209025513,10
0.1,0.6833333333333332,-0.4267824406034853,0.267269052422851,10
0.18333333333333335,0.6833333333333332,-0.23711434407547927,0.29059863640732414,10
0.26666666666666666,0.6833333333333332,-0.3194760498271266,0.25396214761412156,10
0.35,0.6833333333333332,-0.1312846960396453,0.21756796472550088,10
0.43333333333333335,0.6833333333333332,-0.34173902765103026,0.21989105429669462,10
0.5166666666666666,0.6833333333333332,-0.20212874115895246,0.21238256264914188,10
0.6,0.6833333333333332,-0.09010121993075096,0.21499735534919606,10
0.6833333333333332,0.6833333333333332,0.0,0.0,10
0.7666666666666666,0.6833333333333332,0.19666017788073487,0.16632264492749346,10
0.85,0.6833333333333332,0.14542597902879764,0.19770773800363736,10
0.9333333333333332,0.6833333333333332,0.04004598259102288,0.20360018939100405,10
1.0166666666666666,0.6833333333333332,0.028279421195642696,0.17455467638639277,10
1.1,0.6833333333333332,-0.01900555817587344,0.18422334441994828,10
0.1,0.7666666666666666,-0.34664623688031027,0.28711802778502654,10
0.18333333333333335,0.7666666666666666,-0.11253660122980833,0.306958775530859,10
0.26666666666666666,0.7666666666666666,-0.09266944053327528,0.26147492243265535,10
0.35,0.7666666666666666,-0.40943016418121114,0.2397563517241162,10
0.43333333333333335,0.7666666666666666,-0.16473600129773247,0.20667879502085942,10
0.5166666666666666,0.7666666666666666,-0.28621008114250013,0.19005775538655667,10
0.6,0.7666666666666666,-0.2247589403783508,0.16865937980148,10
0.6833333333333332,0.7666666666666666,-0.19666017788073487,0.16632264492749346,10
0.7666666666666666,0.7666666666666666,0.0,0.0,10
0.85,0.7666666666666666,0.20910466427562852,0.2076497056732616,10
0.9333333333333332,0.7666666666666666,0.15529895371288552,0.2077173785194663,10
1.0166666666666666,0.7666666666666666,0.01930344960755408,0.19944503454588794,10
1.1,0.7666666666666666,-0.11702145001712441,0.1838559858623414,10
0.1,0.85,-0.3924816224579411,0.275469242134328,10
0.18333333333333335,0.85,-0.19389956168702502,0.3008742439969885,10
